timestamp,attacco,targeted,target_class,strength_name,strength_values,accuracy_values,constant_values,avg_perturbations,accuracy_on_target_class
2024-06-24 09:18:48,BIM,False,,eps,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]","[0.880, 0.723, 0.547, 0.402, 0.299, 0.228, 0.184, 0.139, 0.104, 0.084]","{""epsilon_step"": ""eps/10"", ""max_iter"": 2}","[0, 0.011, 0.02, 0.029, 0.039, 0.048, 0.057, 0.067, 0.076, 0.085]",
2024-06-24 08:50:22,BIM,False,,eps,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]","[0.882, 0.562, 0.322, 0.22, 0.139, 0.096, 0.062, 0.037, 0.024, 0.012]","{""epsilon_step"": ""eps/10"", ""max_iter"": 5}","[0, 0.02, 0.037, 0.054, 0.071, 0.088, 0.105, 0.12, 0.136, 0.151]",
2024-06-24 09:14:18,BIM,False,,eps,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]","[0.882, 0.415, 0.21, 0.116, 0.063, 0.029, 0.013, 0.009, 0.002, 0.002]","{""epsilon_step"": ""eps/10"", ""max_iter"": 10}","[0, 0.026, 0.048, 0.07, 0.091, 0.112, 0.132, 0.15, 0.167, 0.183]",
2024-06-24 09:48:47,BIM,True,0,eps,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]","[0.878, 0.792, 0.655, 0.554, 0.464, 0.402, 0.328, 0.263, 0.22, 0.167]","{""epsilon_step"": ""eps/10"", ""max_iter"": 2}","[0, 0.01, 0.019, 0.028, 0.037, 0.046, 0.056, 0.065, 0.074, 0.083]","[0, 0.005, 0.006, 0.002, 0.002, 0.0, 0.003, 0.004, 0.001, 0.004]"
2024-06-24 13:17:59,BIM,True,0,eps,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]","[0.876, 0.667, 0.479, 0.383, 0.281, 0.216, 0.152, 0.119, 0.073, 0.04]","{""epsilon_step"": ""eps/10"", ""max_iter"": 5}","[0, 0.02, 0.036, 0.053, 0.07, 0.087, 0.103, 0.119, 0.135, 0.15]","[0, 0.006, 0.023, 0.024, 0.017, 0.018, 0.013, 0.014, 0.009, 0.005]"
2024-06-24 14:14:48,BIM,True,0,eps,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]","[0.880, 0.549, 0.384, 0.265, 0.18, 0.107, 0.067, 0.041, 0.023, 0.009]","{""epsilon_step"": ""eps/10"", ""max_iter"": 10}","[0, 0.026, 0.047, 0.069, 0.09, 0.11, 0.13, 0.148, 0.166, 0.182]","[0, 0.02, 0.029, 0.018, 0.02, 0.017, 0.012, 0.006, 0.002, 0.001]"
