timestamp,attacco,targeted,target_class,strength_name,strength_values,accuracy_values,constant_values,avg_perturbations,accuracy_on_target_class
2024-06-23 04:07:32,PGD,False,,eps,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]","[0.8837675350701403, 0.7635270541082164, 0.6232464929859719, 0.4789579158316633, 0.31162324649298595, 0.16432865731462926, 0.06613226452905811, 0.01903807615230461, 0.009018036072144289, 0.002004008016032064]","{""max_iter"": 2, ""eps_step"": ""eps/10"", ""rnd_init"": 5}","[0, 0.05, 0.097, 0.141, 0.181, 0.216, 0.247, 0.272, 0.292, 0.307]",
2024-06-23 07:07:25,PGD,False,,eps,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]","[0.8837675350701403, 0.6673346693386774, 0.5020040080160321, 0.3717434869739479, 0.20040080160320642, 0.0811623246492986, 0.022044088176352707, 0.002004008016032064, 0.001002004008016032, 0.0]","{""max_iter"": 5, ""eps_step"": ""eps/10"", ""rnd_init"": 5}","[0, 0.05, 0.097, 0.141, 0.181, 0.215, 0.243, 0.266, 0.283, 0.296]",
2024-06-23 12:14:59,PGD,False,,eps,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]","[0.8837675350701403, 0.5581162324649298, 0.38877755511022044, 0.250501002004008, 0.10420841683366733, 0.027054108216432865, 0.003006012024048096, 0.0, 0.0, 0.0]","{""max_iter"": 10, ""eps_step"": ""eps/10"", ""rnd_init"": 5}","[0, 0.051, 0.098, 0.142, 0.181, 0.215, 0.242, 0.264, 0.28, 0.291]",
2024-06-23 14:29:32,PGD,True,0,eps,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]","[0.8807615230460922, 0.7755511022044088, 0.6503006012024048, 0.49799599198396793, 0.3717434869739479, 0.21342685370741482, 0.09519038076152304, 0.031062124248496994, 0.0070140280561122245, 0.003006012024048096]","{""max_iter"": 2, ""eps_step"": ""eps/10"", ""rnd_init"": 5}","[0, 0.05, 0.097, 0.142, 0.182, 0.218, 0.249, 0.274, 0.294, 0.309]","[0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-06-23 17:15:37,PGD,True,0,eps,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]","[0.8807615230460922, 0.7264529058116233, 0.5701402805611222, 0.41783567134268534, 0.2635270541082164, 0.12024048096192384, 0.04008016032064128, 0.013026052104208416, 0.002004008016032064, 0.0]","{""max_iter"": 5, ""eps_step"": ""eps/10"", ""rnd_init"": 5}","[0, 0.05, 0.098, 0.142, 0.182, 0.216, 0.245, 0.267, 0.284, 0.297]","[0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-06-23 22:00:02,PGD,True,0,eps,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]","[0.8807615230460922, 0.6332665330661322, 0.46893787575150303, 0.2985971943887776, 0.1492985971943888, 0.05511022044088176, 0.008016032064128256, 0.003006012024048096, 0.001002004008016032, 0.0]","{""max_iter"": 10, ""eps_step"": ""eps/10"", ""rnd_init"": 5}","[0, 0.051, 0.099, 0.143, 0.182, 0.216, 0.243, 0.264, 0.28, 0.291]","[0, 0.0, 0.002, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0]"
