timestamp,attacco,targeted,target_class,strength_name,strength_values,accuracy_values,constant_values,avg_perturbations,accuracy_values_NN2
2024-06-24 10:58:20,DeepFool,False,,eps,"[0,0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]","[0.8316633266533067,0.09519038076152304, 0.07615230460921844, 0.06813627254509018, 0.05511022044088176, 0.050100200400801605, 0.045090180360721446, 0.03907815631262525, 0.03206412825651302, 0.027054108216432865]","{""max_iter"": 2}","[0, 0.0012774601,0.0013935028,0.0015095136,0.0016255006,0.0017414673,0.001857408,0.0019733175,0.0020892066,0.0022050603]","[0.8777555110220441, 0.8717434869739479, 0.8717434869739479, 0.8707414829659319, 0.8697394789579158, 0.8687374749498998, 0.8687374749498998, 0.8697394789579158, 0.8677354709418837, 0.8657314629258517]",
2024-06-24 12:47:06,DeepFool,False,,eps,"[0,0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]","[0.8316633266533067,0.025050100200400802, 0.021042084168336674, 0.01903807615230461, 0.01903807615230461, 0.01603206412825651, 0.017034068136272545, 0.01603206412825651, 0.01603206412825651, 0.01603206412825651]","{""max_iter"": 5}","[0, 0.0012774601,0.0013935028,0.0015095136,0.0016255006,0.0017414673,0.001857408,0.0019733175,0.0020892066,0.0022050603]","[0.8777555110220441, 0.8717434869739479, 0.8717434869739479, 0.8707414829659319, 0.8697394789579158, 0.8687374749498998, 0.8687374749498998, 0.8697394789579158, 0.8677354709418837, 0.8657314629258517]",
2024-06-24 14:37:50,DeepFool,False,,eps,"[0,0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]","[0.8316633266533067,0.017034068136272545, 0.01503006012024048, 0.01503006012024048, 0.01503006012024048, 0.013026052104208416, 0.014028056112224449, 0.012024048096192385, 0.012024048096192385, 0.012024048096192385]","{""max_iter"": 10}","[0, 0.0012774601,0.0013935028,0.0015095136,0.0016255006,0.0017414673,0.001857408,0.0019733175,0.0020892066,0.0022050603]","[0.8777555110220441, 0.8717434869739479, 0.8717434869739479, 0.8707414829659319, 0.8697394789579158, 0.8687374749498998, 0.8687374749498998, 0.8697394789579158, 0.8677354709418837, 0.8657314629258517]",

2024-05-20 14:34:10,C&W,False,,binary_search_steps,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.8316633266533067, 0.006012024048096192, 0.013026052104208416, 0.026052104208416832, 0.03707414829659319, 0.04208416833667335, 0.04208416833667335, 0.04408817635270541, 0.04408817635270541]","{""confidence"": 0.5, ""max_iter"": 5, ""learning_rate"": 0.01, ""initial_const"": 1000}","[0, 0.034, 0.018, 0.009, 0.005, 0.003, 0.002, 0.001, 0.001]","[0.8807615230460922, 0.45791583166332667, 0.6412825651302605, 0.7755511022044088, 0.8466933867735471, 0.8707414829659319, 0.8717434869739479, 0.874749498997996, 0.874749498997996]",
2024-05-20 17:20:48,C&W,False,,confidence,"[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.8316633266533067, 0.009018036072144289, 0.009018036072144289, 0.009018036072144289, 0.009018036072144289, 0.006012024048096192, 0.006012024048096192, 0.006012024048096192, 0.00501002004008016, 0.00501002004008016, 0.00501002004008016]","{""binary_search_steps"": 1, ""max_iter"": 5, ""learning_rate"": 0.01, ""initial_const"": 1000}","[0, 0.032, 0.033, 0.033, 0.034, 0.034, 0.034, 0.034, 0.034, 0.035, 0.035]","[0.8807615230460922, 0.5230460921843687, 0.49498997995991983, 0.47194388777555113, 0.4649298597194389, 0.45791583166332667, 0.45791583166332667, 0.4589178356713427, 0.45691382765531063, 0.45791583166332667, 0.45490981963927857]",
2024-05-20 19:17:10,C&W,False,,lr,"[0.0, 0.01, 0.02, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.1]","[0.8316633266533067, 0.006012024048096192, 0.003006012024048096, 0.0, 0.003006012024048096, 0.001002004008016032, 0.0, 0.001002004008016032, 0.003006012024048096, 0.003006012024048096, 0.002004008016032064]","{""binary_search_steps"": 1, ""confidence"": 0.5, ""max_iter"": 5, ""initial_const"": 1000}","[0, 0.034, 0.056, 0.071, 0.082, 0.09, 0.093, 0.097, 0.099, 0.1, 0.102]","[0.8807615230460922, 0.46092184368737477, 0.33567134268537074, 0.3026052104208417, 0.30861723446893785, 0.30561122244488975, 0.2995991983967936, 0.3046092184368738, 0.30360721442885774, 0.3026052104208417, 0.30561122244488975]",
2024-05-20 21:12:31,C&W,False,,ic,"[0.0, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000]","[0.8316633266533067, 0.03907815631262525, 0.027054108216432865, 0.021042084168336674, 0.01503006012024048, 0.013026052104208416, 0.009018036072144289, 0.009018036072144289, 0.0070140280561122245, 0.006012024048096192, 0.006012024048096192]","{""binary_search_steps"": 1, ""confidence"": 0.5, ""max_iter"": 5, ""learning_rate"": 0.01}","[0, 0.004, 0.007, 0.011, 0.014, 0.018, 0.021, 0.025, 0.028, 0.031, 0.034]","[0.8807615230460922, 0.8537074148296593, 0.7995991983967936, 0.749498997995992, 0.688376753507014, 0.6422845691382766, 0.6102204408817635, 0.5591182364729459, 0.5180360721442886, 0.4779559118236473, 0.45691382765531063]",
2024-05-20 22:31:51,C&W,False,,mi,"[0.0, 5, 6, 7, 8, 9]","[0.8316633266533067, 0.006012024048096192, 0.006012024048096192, 0.006012024048096192, 0.006012024048096192, 0.006012024048096192]","{""binary_search_steps"": 1, ""confidence"": 0.5, ""learning_rate"": 0.01, ""initial_const"": 1000}","[0, 0.034, 0.034, 0.034, 0.034, 0.034]","[0.8807615230460922, 0.46092184368737477, 0.45991983967935873, 0.45991983967935873, 0.4589178356713427, 0.45991983967935873]",

2024-05-19 17:14:57,C&W,True,0,binary_search_steps,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.8316633266533067, 0.29458917835671344, 0.26152304609218435, 0.2655310621242485, 0.25551102204408815, 0.2605210420841683, 0.23046092184368738, 0.24348697394789579, 0.24949899799599198]","{""confidence"": 0.5, ""max_iter"": 5, ""learning_rate"": 0.01, ""initial_const"": 1000}","[0, 0.03, 0.022, 0.019, 0.019, 0.018, 0.018, 0.018, 0.016]","[0.8807615230460922, 0.24348697394789579, 0.36773547094188375, 0.47695390781563124, 0.503006012024048, 0.5230460921843687, 0.5360721442885772, 0.5511022044088176, 0.5511022044088176]",
2024-05-19 19:03:07,C&W,True,0,confidence,"[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.8316633266533067, 0.24949899799599198, 0.25250501002004005, 0.2745490981963928, 0.27655310621242485, 0.3096192384769539, 0.30861723446893785, 0.3276553106212425, 0.3396793587174349, 0.374749498997996, 0.3787575150300601]","{""binary_search_steps"": 1, ""max_iter"": 5, ""learning_rate"": 0.01, ""initial_const"": 1000}","[0, 0.034, 0.033, 0.032, 0.031, 0.028, 0.029, 0.027, 0.027, 0.024, 0.024]","[0.8807615230460922, 0.2755511022044088, 0.27054108216432865, 0.25851703406813625, 0.2605210420841683, 0.24849699398797595, 0.24148296593186372, 0.23647294589178355, 0.21643286573146292, 0.20340681362725452, 0.21643286573146292]",
2024-05-24 00:04:02,C&W,True,0,lr,"[0.0, 0.01, 0.02, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.1]","[0.8316633266533067, 0.312625250501002, 0.503006012024048, 0.5901803607214429, 0.6402805611222445, 0.6903807615230461, 0.7064128256513026, 0.7054108216432866, 0.720440881763527, 0.7254509018036072, 0.7334669338677354]","{""binary_search_steps"": 1, ""confidence"": 0.5, ""max_iter"": 5, ""initial_const"": 1000}","[0, 0.029, 0.03, 0.028, 0.025, 0.019, 0.017, 0.019, 0.018, 0.016, 0.016]","[0.8807615230460922, 0.24248496993987975, 0.16032064128256512, 0.1533066132264529, 0.14529058116232466, 0.1492985971943888, 0.13827655310621242, 0.15030060120240482, 0.1342685370741483, 0.1432865731462926, 0.13627254509018036]",
2024-05-24 01:43:55,C&W,True,0,ic,"[0.0, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000]","[0.8316633266533067, 0.11523046092184369, 0.10420841683366733, 0.12324649298597194, 0.13827655310621242, 0.1743486973947896, 0.18336673346693386, 0.2154308617234469, 0.22745490981963928, 0.2715430861723447, 0.30360721442885774]","{""binary_search_steps"": 1, ""confidence"": 0.5, ""max_iter"": 5, ""learning_rate"": 0.01}","[0, 0.012, 0.015, 0.017, 0.019, 0.021, 0.025, 0.026, 0.029, 0.029, 0.03]","[0.8807615230460922, 0.5130260521042084, 0.5190380761523046, 0.47194388777555113, 0.44288577154308617, 0.39478957915831664, 0.35470941883767537, 0.32064128256513025, 0.2905811623246493, 0.2535070140280561, 0.25250501002004005]",
2024-05-24 02:52:27,C&W,True,0,mi,"[0.0, 5, 6, 7, 8, 9]","[0.8316633266533067, 0.3026052104208417, 0.19839679358717435, 0.13226452905811623, 0.10120240480961924, 0.08617234468937876]","{""binary_search_steps"": 1, ""confidence"": 0.5, ""learning_rate"": 0.01, ""initial_const"": 1000}","[0, 0.03, 0.039, 0.046, 0.049, 0.053]","[0.8807615230460922, 0.2635270541082164, 0.280561122244489, 0.30060120240480964, 0.29759519038076154, 0.30060120240480964]",
